asset,direction,signal_type,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
BTC-Binance,SHORT,pullback,2017-08-21 07:25:00,2017-08-21 09:10:00,4021.03,4065.4651,4.97385,-221.01,40.22,-261.23,21,stop_loss
BTC-Binance,SHORT,pullback,2017-08-22 08:25:00,2017-08-22 08:55:00,3803.0,3803.0,5.245268,0.0,39.9,-39.9,6,stop_loss
BTC-Binance,SHORT,pullback,2017-08-22 20:10:00,2017-08-22 22:10:00,4060.85,3965.92,4.910246,466.13,39.41,426.72,24,ma_cross
BTC-Binance,LONG,pullback,2017-08-23 12:45:00,2017-08-23 12:50:00,4241.8,4229.9701,4.720901,-55.85,39.99,-95.84,1,stop_loss
BTC-Binance,LONG,pullback,2017-08-25 00:35:00,2017-08-25 03:00:00,4314.64,4328.6,4.63676,64.73,40.08,24.65,29,ma_cross
BTC-Binance,LONG,pullback,2017-08-27 18:40:00,2017-08-27 18:55:00,4335.06,4344.3877,4.616056,43.06,40.06,2.99,3,stop_loss
BTC-Binance,SHORT,pullback,2017-08-28 00:40:00,2017-08-28 02:55:00,4292.77,4295.0,4.66167,-10.4,40.03,-50.43,27,ma_cross
BTC-Binance,LONG,pullback,2017-08-31 14:15:00,2017-08-31 14:40:00,4665.07,4665.07,4.28748,0.0,40.0,-40.0,5,stop_loss
BTC-Binance,LONG,pullback,2017-09-01 14:10:00,2017-09-01 14:50:00,4753.0,4737.0489,4.206478,-67.1,39.92,-107.02,8,stop_loss
BTC-Binance,LONG,pullback,2017-09-01 20:30:00,2017-09-01 20:50:00,4777.77,4787.8566,4.18019,42.16,39.99,2.18,4,stop_loss
BTC-Binance,SHORT,pullback,2017-09-03 13:20:00,2017-09-03 13:35:00,4469.12,4469.12,4.468983,0.0,39.94,-39.94,3,stop_loss
BTC-Binance,SHORT,pullback,2017-09-04 02:20:00,2017-09-04 04:20:00,4413.31,4400.0,4.523687,60.21,39.87,20.34,24,ma_cross
BTC-Binance,SHORT,pullback,2017-09-04 08:55:00,2017-09-04 10:20:00,4338.29,4412.5776,4.602851,-341.93,40.28,-382.21,17,stop_loss
BTC-Binance,SHORT,pullback,2017-09-04 17:40:00,2017-09-04 18:35:00,4003.93,4058.3528,4.968134,-270.38,40.05,-310.43,11,stop_loss
