direction,level_type,entry_date,exit_date,entry_price,exit_price,tp_price,sl_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
SHORT,support,2017-08-18 17:30:00,2017-08-18 18:15:00,4158.56,4200.15,4075.39,4200.15,6.011696,-250.0,50.25,-300.25,3,stop_loss
SHORT,support,2017-08-18 18:15:00,2017-08-18 19:00:00,4173.0,4089.54,4089.54,4214.73,5.972906,498.5,49.35,449.15,3,take_profit
SHORT,support,2017-08-18 19:00:00,2017-08-18 19:30:00,4047.09,4087.56,3966.15,4087.56,6.186476,-250.37,50.32,-300.7,2,stop_loss
SHORT,support,2017-08-18 19:30:00,2017-08-18 19:45:00,4089.05,4129.94,4007.27,4129.94,6.104609,-249.62,50.17,-299.79,1,stop_loss
SHORT,support,2017-08-18 19:45:00,2017-08-18 20:00:00,4136.28,4053.55,4053.55,4177.64,6.016784,497.74,49.28,448.47,1,take_profit
SHORT,support,2017-08-18 20:15:00,2017-08-18 20:30:00,4010.9,4051.01,3930.68,4051.01,6.23282,-249.99,50.25,-300.24,1,stop_loss
SHORT,support,2017-08-18 20:30:00,2017-08-18 21:30:00,4026.82,3946.28,3946.28,4067.09,6.189539,498.48,49.35,449.13,4,take_profit
SHORT,support,2017-08-18 21:30:00,2017-08-18 22:00:00,3976.0,4015.76,3896.48,4015.76,6.296892,-250.36,50.32,-300.69,2,stop_loss
SHORT,support,2017-08-18 22:00:00,2017-08-18 22:30:00,4061.18,4101.79,3979.96,4101.79,6.146309,-249.61,50.17,-299.78,2,stop_loss
SHORT,support,2017-08-19 07:00:00,2017-08-19 08:00:00,3999.14,4039.13,3919.16,4039.13,6.222919,-248.86,50.02,-298.88,4,stop_loss
SHORT,support,2017-08-19 11:30:00,2017-08-19 11:45:00,3970.58,3891.17,3891.17,4010.29,6.248861,496.23,49.13,447.11,1,take_profit
SHORT,support,2017-08-19 11:45:00,2017-08-19 12:15:00,3957.6,3997.18,3878.45,3997.18,6.297599,-249.23,50.1,-299.33,2,stop_loss
SHORT,support,2017-08-19 12:15:00,2017-08-19 12:30:00,4033.0,4073.33,3952.34,4073.33,6.161306,-248.49,49.95,-298.43,1,stop_loss
LONG,resistance,2017-08-20 05:15:00,2017-08-20 05:30:00,4142.16,4100.74,4225.0,4100.74,5.980922,-247.74,49.3,-297.04,1,stop_loss
