asset,direction,signal_type,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
Gold,LONG,pullback,2024-07-08 11:00:00+00:00,2024-07-08 14:00:00+00:00,2381.8999,2380.8999,8.396658,-8.4,41.98,-50.38,3,ma_cross
Gold,LONG,breakout,2024-07-11 13:00:00+00:00,2024-07-12 06:00:00+00:00,2411.8999,2409.6001,8.28804,-19.06,41.44,-60.5,16,ma_cross
Gold,LONG,breakout,2024-07-15 15:00:00+00:00,2024-07-17 09:00:00+00:00,2436.5,2479.5,8.199394,352.57,41.0,311.58,40,max_hold
Gold,LONG,pullback,2024-07-29 13:00:00+00:00,2024-07-29 15:00:00+00:00,2391.8999,2376.8104,8.378335,-126.43,41.89,-168.32,2,stop_loss
Gold,LONG,breakout,2024-07-30 08:00:00+00:00,2024-07-30 11:00:00+00:00,2387.3999,2387.3999,8.380027,0.0,41.9,-41.9,3,stop_loss
Gold,LONG,breakout,2024-07-31 20:00:00+00:00,2024-08-01 08:00:00+00:00,2495.3999,2478.1001,8.013984,-138.64,40.07,-178.71,11,ma_cross
Gold,LONG,breakout,2024-08-12 08:00:00+00:00,2024-08-12 14:00:00+00:00,2481.1001,2487.6001,8.045767,52.3,40.23,12.07,6,stop_loss
Gold,LONG,breakout,2024-08-16 12:00:00+00:00,2024-08-16 14:00:00+00:00,2510.0,2517.6001,7.954091,60.45,39.77,20.68,2,stop_loss
Gold,LONG,breakout,2024-08-16 14:00:00+00:00,2024-08-19 09:00:00+00:00,2533.3,2538.3999,7.882566,40.2,39.41,0.79,18,ma_cross
Gold,LONG,breakout,2024-08-20 08:00:00+00:00,2024-08-20 15:00:00+00:00,2553.3999,2553.3999,7.820577,0.0,39.1,-39.1,7,stop_loss
Gold,LONG,pullback,2024-09-04 15:00:00+00:00,2024-09-06 09:00:00+00:00,2527.3999,2549.1001,7.897935,171.39,39.49,131.9,40,max_hold
Gold,LONG,breakout,2024-09-10 13:00:00+00:00,2024-09-10 14:00:00+00:00,2542.8,2533.8,7.860476,-70.74,39.3,-110.05,1,stop_loss
Gold,LONG,breakout,2024-09-12 14:00:00+00:00,2024-09-16 08:00:00+00:00,2573.8,2614.3,7.75725,314.17,38.79,275.38,40,max_hold
Gold,LONG,pullback,2024-09-16 18:00:00+00:00,2024-09-16 22:00:00+00:00,2610.2,2610.1001,7.670174,-0.77,38.35,-39.12,3,ma_cross
Gold,LONG,breakout,2024-09-20 07:00:00+00:00,2024-09-20 13:00:00+00:00,2630.8999,2630.8999,7.606851,0.0,38.03,-38.03,6,stop_loss
Gold,LONG,breakout,2024-09-24 17:00:00+00:00,2024-09-25 05:00:00+00:00,2678.6001,2678.6001,7.468549,0.0,37.34,-37.34,11,stop_loss
Gold,LONG,pullback,2024-09-25 18:00:00+00:00,2024-09-25 22:00:00+00:00,2684.8999,2681.8,7.448244,-23.09,37.24,-60.33,3,ma_cross
Gold,LONG,breakout,2024-09-26 12:00:00+00:00,2024-09-26 13:00:00+00:00,2706.0,2695.7002,7.385707,-76.07,36.93,-113.0,1,stop_loss
Gold,LONG,breakout,2024-10-01 14:00:00+00:00,2024-10-02 03:00:00+00:00,2690.8,2676.5,7.419029,-106.09,37.1,-143.19,12,ma_cross
Gold,LONG,pullback,2024-10-14 14:00:00+00:00,2024-10-14 17:00:00+00:00,2672.3,2665.3999,7.459673,-51.47,37.3,-88.77,3,ma_cross
Gold,LONG,pullback,2024-10-15 13:00:00+00:00,2024-10-16 15:00:00+00:00,2664.7,2686.3,7.474286,161.45,37.37,124.07,25,ma_cross
Gold,LONG,pullback,2024-10-31 06:00:00+00:00,2024-10-31 09:00:00+00:00,2796.3999,2789.1001,7.131149,-52.06,35.66,-87.71,3,ma_cross
Gold,LONG,pullback,2024-11-04 20:00:00+00:00,2024-11-05 00:00:00+00:00,2747.6001,2743.8,7.25142,-27.56,36.26,-63.81,3,ma_cross
Gold,LONG,pullback,2024-11-08 11:00:00+00:00,2024-11-08 14:00:00+00:00,2695.8999,2699.2,7.385749,24.37,36.93,-12.56,3,ma_cross
Gold,LONG,pullback,2024-12-11 08:00:00+00:00,2024-12-11 09:00:00+00:00,2726.1001,2693.5649,7.303008,-237.6,36.52,-274.12,1,stop_loss
Gold,LONG,breakout,2024-12-11 16:00:00+00:00,2024-12-12 09:00:00+00:00,2754.8,2748.3999,7.207022,-46.13,36.04,-82.16,16,ma_cross
Gold,LONG,breakout,2025-01-07 14:00:00+00:00,2025-01-07 15:00:00+00:00,2676.3999,2661.7,7.411999,-108.96,37.06,-146.02,1,stop_loss
Gold,LONG,pullback,2025-01-22 23:00:00+00:00,2025-01-23 02:00:00+00:00,2765.8999,2762.1001,7.1616,-27.21,35.81,-63.02,3,ma_cross
Gold,LONG,breakout,2025-01-24 03:00:00+00:00,2025-01-24 14:00:00+00:00,2781.2,2781.2,7.117671,0.0,35.59,-35.59,11,stop_loss
Gold,LONG,pullback,2025-01-29 13:00:00+00:00,2025-01-29 17:00:00+00:00,2769.5,2769.1001,7.14517,-2.86,35.73,-38.58,4,ma_cross
Gold,LONG,breakout,2025-01-30 08:00:00+00:00,2025-01-31 08:00:00+00:00,2783.0,2844.8999,7.107737,439.97,35.54,404.43,23,ma_cross
Gold,LONG,pullback,2025-01-31 08:00:00+00:00,2025-01-31 11:00:00+00:00,2849.8,2843.0,6.969513,-47.39,34.85,-82.24,3,ma_cross
Gold,LONG,pullback,2025-02-05 23:00:00+00:00,2025-02-06 02:00:00+00:00,2885.0,2889.0,6.878776,27.52,34.39,-6.88,3,ma_cross
Gold,LONG,pullback,2025-02-10 00:00:00+00:00,2025-02-11 08:00:00+00:00,2892.3,2933.8999,6.860939,285.41,34.3,251.11,31,ma_cross
